station_name,address,lat,lon,total_bike,available_bike,location,nowdate
등촌2동주민센터,서울특별시 강서구 등촌로 143 강서구 등촌동 577,37.541687,126.863060,10,9,서울,201804261939
용문사 버스정류장,서울특별시 강서구 등촌로 95 강서구 등촌동 579,37.537891,126.863396,8,8,서울,201804261939
홍대입구역 8번출구 앞,서울특별시 마포구 양화로18길 3 192-5,37.557060,126.924423,15,17,서울,201804261939
목동사거리 버스정류장,서울특별시 강서구 등촌로 19 강서구 화곡동 939-3,37.531399,126.863609,15,11,서울,201804261939
곰달래 문화복지센터 1-1,서울특별시 강서구 강서로5길 50 강서구 화곡동 941-2,37.529060,126.848480,10,18,서울,201804261939
곰달래 문화복지센터 1-2,서울특별시 강서구 강서로5길 50 강서구 화곡동 941-2,37.528919,126.848083,10,6,서울,201804261939
곰달래사거리,서울특별시 강서구 곰달래로 51 355-48,37.530338,126.838257,10,3,서울,201804261939
볏골공원,서울특별시 강서구 까치산로4길 22 강서구 화곡동 98-148,37.541470,126.844780,10,6,서울,201804261939
신방화역환승주차장,서울특별시 강서구 마곡서1로 111-12 신방화역환승주차장,37.567284,126.818275,13,6,서울,201804261939
사루비아 빌딩 앞,서울특별시 서대문구 연희로 6 516,37.558933,126.927116,15,4,서울,201804261939
송정역 1번출구,서울특별시 강서구 공항대로3길 18 송정역 1번출구,37.561550,126.810478,10,9,서울,201804261939
마곡역1번출구,서울특별시 강서구 마곡동 727-716 마곡역2번출구,37.560234,126.823471,10,8,서울,201804261939
마곡역교차로,서울특별시 강서구 마곡동 728-168 마곡역7번출구,37.558666,126.826614,10,4,서울,201804261939
발산역 2번출구,서울특별시 강서구 공항대로 281 발산역 4번출구,37.558910,126.838097,10,10,서울,201804261939
기쁜우리복지관,서울특별시 강서구 가양동 1458-15  기쁜우리복지관,37.569260,126.848419,10,2,서울,201804261939
강서구청,서울특별시 강서구 화곡로 302 강서구청,37.550659,126.849770,8,0,서울,201804261939
가양역 8번출구,서울특별시 강서구 양천로 지하 485 가양역 8번출구,37.561035,126.854813,10,10,서울,201804261939
서서울모터리움앞,서울특별시 강서구 양천로53길 30 서서울모터리움앞,37.565853,126.846596,20,6,서울,201804261939
일진아이윌아파트 옆,서울특별시 서대문구 동교로 290 일진아이윌아파트 옆,37.564541,126.927071,5,6,서울,201804261939
양천향교역 7번출구앞,서울특별시 강서구 양천로 지하 341 양천향교역 7번출구 앞,37.567680,126.840897,20,5,서울,201804261939
강서면허시험장앞,서울특별시 강서구 남부순환로 171 강서면허시험장앞,37.549694,126.819664,10,1,서울,201804261939
공항초등학교건너편,서울특별시 강서구 마곡서1로 68 공항초등학교건너편,37.562679,126.820473,10,7,서울,201804261939
방화동강서기동대앞,서울특별시 강서구 방화대로34길 65 방화동 강서기동대앞,37.570499,126.820084,10,5,서울,201804261939
마곡중학교 후문,서울특별시 강서구 마곡중앙5로 58 마곡중학교 후문,37.568447,126.821648,20,11,서울,201804261939
강서구립등빛도서관,서울특별시 강서구 강서로62길 48 강서구립등빛도서관,37.562569,126.842461,10,8,서울,201804261939
마곡수명산파크3단지 교차로,서울특별시 강서구 수명로 72 마곡수명산파크3단지 교차로,37.553467,126.825928,15,6,서울,201804261939
마곡엠밸리10단지 앞,서울특별시 강서구 마곡중앙1로 72 마곡엠밸리10단지 앞,37.560226,126.819069,10,3,서울,201804261939
홍은사거리,서울특별시 서대문구 통일로 483 홍은사거리 앞,37.591160,126.941330,25,3,서울,201804261939
광흥창역 2번출구 앞,서울특별시 마포구 독막로 지하165 243-3,37.547733,126.931763,10,9,서울,201804261939
서강나루 공원,서울특별시 마포구 창전로 30 서강나루공원,37.545284,126.931053,10,4,서울,201804261939
신수동 사거리,서울특별시 마포구 토정로 211 371-11,37.545242,126.934113,5,9,서울,201804261939
가락시장역 3번 출구,서울특별시 송파구 송파대로 지하 257 송파구 가락동 214-3,37.493179,127.118546,10,0,서울,201804261939
밀리아나2빌딩 앞,서울특별시 송파구 송파대로28길 24 송파구 가락동 100-2,37.493729,127.120621,20,8,서울,201804261939
거여역 3번출구,서울특별시 송파구 오금로 지하 499 3번출구,37.493343,127.144730,10,9,서울,201804261939
종합운동장역 4번출구,서울특별시 송파구 올림픽로 8 송파구 잠실동 50,37.510429,127.071373,15,3,서울,201804261939
9호선종합운동장역 9번출구,서울특별시 송파구 올림픽로 지하 23 송파구 잠실동 53-4,37.511280,127.078239,20,4,서울,201804261939
마천CU우방점 앞,서울특별시 송파구 성내천로 233 송파구 마천동 200-58,37.499756,127.152504,10,9,서울,201804261939
