acinum,year,loc1,loc2,time02,time04,time06,time08,time10,time12,time14,time16,time18,time20,time22,22~24
127,2007,충북,청원군,1,,,2,4,1,2,6,5,4,,1
128,2007,충북,보은군,,,,,,2,2,2,3,4,1,
129,2007,충북,옥천군,,,,1,2,2,,2,2,4,,
130,2007,충북,영동군,,,,,1,,1,2,1,4,,
131,2007,충북,진천군,,,,4,4,1,,2,5,7,2,
132,2007,충북,괴산군,,,,,1,,,,2,,,
133,2007,충북,음성군,,,,2,2,2,6,2,5,9,2,
134,2007,충북,단양군,,,,,,,,,2,1,1,
135,2007,충북,증평군,,,,1,,,,1,,2,1,
136,2007,충남,천안시,1,,1,8,12,9,5,10,10,12,5,4
137,2007,충남,아산시,,,,1,3,1,3,2,4,5,1,2
138,2007,충남,보령시,2,,1,,2,,5,6,5,6,3,2
139,2007,충남,공주시,,1,1,1,1,3,,3,3,4,1,
140,2007,충남,서산시,,,,3,6,2,,1,2,5,2,3
141,2007,충남,금산군,,,,,3,1,1,,3,,3,
142,2007,충남,태안군,1,,1,,3,1,1,3,2,,2,1
143,2007,충남,연기군,,,1,,2,4,3,,6,2,3,2
144,2007,충남,논산시,,,1,1,4,4,4,9,6,5,3,2
145,2007,충남,부여군,1,1,1,2,3,6,,1,2,5,,1
146,2007,충남,서천군,,,,4,2,5,4,5,3,4,,1
147,2007,충남,청양군,,,,,,2,1,1,4,1,,
148,2007,충남,홍성군,,,,1,2,,,2,3,2,1,1
149,2007,충남,예산군,1,,,2,3,1,,4,10,4,2,2
150,2007,충남,당진시,,,,3,1,1,2,2,1,5,,1
151,2007,충남,계룡시,,,,,,,1,,,2,,1
152,2007,전북,전주시,4,,4,22,31,17,25,23,35,31,22,11
153,2007,전북,군산시,2,,2,8,16,12,15,14,17,7,4,6
154,2007,전북,정읍시,1,3,,3,10,8,7,12,7,17,6,2
155,2007,전북,남원시,1,,2,1,8,6,8,7,16,19,3,2
156,2007,전북,김제시,,,,1,2,6,2,2,4,4,4,1
157,2007,전북,완주군,,,,3,1,1,2,,2,5,1,
158,2007,전북,진안군,,,,,,1,1,1,,,2,
159,2007,전북,무주군,,,,,,,,,2,2,,
160,2007,전북,장수군,,,,2,,,,,,,1,
161,2007,전북,임실군,,,,,,,2,1,1,1,,
162,2007,전북,순창군,,,,,1,1,1,,1,1,2,1
163,2007,전북,고창군,,,,,1,,1,1,2,1,,
164,2007,전북,부안군,,,,1,,3,3,2,6,4,1,1
165,2007,전북,익산시,1,1,2,7,5,6,9,10,14,20,11,4
166,2007,전남,목포시,1,,1,10,8,6,7,11,13,14,8,4
167,2007,전남,여수시,,,,5,3,,4,5,1,3,3,2
168,2007,전남,순천시,2,,,2,8,2,16,5,13,11,7,1
169,2007,전남,나주시,1,1,1,,4,6,6,2,5,6,3,
170,2007,전남,광양시,2,,,2,3,1,2,6,3,11,7,1
171,2007,전남,담양군,,,,,1,1,,1,,4,2,
172,2007,전남,곡성군,,,,,1,,2,2,1,2,,
173,2007,전남,구례군,,,,,,2,2,,,,1,
174,2007,전남,고흥군,,,1,,,1,3,3,1,5,1,
175,2007,전남,보성군,,,,,,,2,1,,1,1,
176,2007,전남,화순군,,,,1,1,1,1,1,4,3,,
177,2007,전남,장흥군,,,,1,3,,,2,2,2,,1
178,2007,전남,강진군,,,,1,3,,1,2,1,2,,1
179,2007,전남,해남군,,,1,,2,1,1,2,1,,,
180,2007,전남,영암군,,,1,1,4,2,1,1,2,3,1,
181,2007,전남,무안군,,,,,,,,2,2,2,,
182,2007,전남,함평군,,,,,,1,1,1,1,1,,
183,2007,전남,영광군,,,,,,1,1,,,2,1,
184,2007,전남,장성군,,,,,1,2,2,2,2,2,,
185,2007,전남,완도군,,,,1,1,,1,,1,1,1,
186,2007,전남,진도군,,,,,1,,1,1,,,,
187,2007,전남,신안군,,,,2,1,,,,,1,,
188,2007,경북,포항시,2,3,1,13,20,21,10,25,35,23,15,10
189,2007,경북,경주시,3,,1,8,14,18,19,16,25,26,15,5
190,2007,경북,김천시,,,2,5,1,4,4,7,5,4,2,1
191,2007,경북,안동시,,,,3,4,4,2,5,5,6,,3
192,2007,경북,구미시,3,,,12,23,11,8,13,14,15,9,7
193,2007,경북,영주시,,1,,4,5,11,6,8,21,13,11,3
194,2007,경북,영천시,,,2,2,,2,4,4,7,9,2,
195,2007,경북,문경시,,1,,1,2,3,5,4,11,5,2,
196,2007,경북,상주시,1,,2,4,13,10,5,7,9,13,5,4
197,2007,경북,군위군,,,,,2,,1,1,2,,,
198,2007,경북,의성군,,,2,1,1,1,1,1,3,2,,
199,2007,경북,청송군,,,,,,,,,1,,,
200,2007,경북,영양군,,,,,,,,,2,2,,
201,2007,경북,영덕군,,,1,,3,2,3,1,2,2,4,
202,2007,경북,청도군,,,,1,4,4,2,4,1,3,1,
203,2007,경북,고령군,,,1,1,2,4,,,2,2,,2
204,2007,경북,성주군,1,,,1,3,2,3,3,5,3,1,
205,2007,경북,칠곡군,,1,,1,1,1,,4,6,7,4,
206,2007,경북,예천군,,,,,1,1,,,5,4,1,
207,2007,경북,봉화군,,,,,1,2,,1,,2,,
208,2007,경북,울진군,,,,2,1,2,2,1,3,2,1,1
209,2007,경북,울릉군,,,,,,,,,,1,,
